iter	Passed	Remaining
0	151	151596
1	153	76564
2	154	51286
3	155	38597
4	155	31001
5	156	25914
6	157	22274
7	157	19549
8	158	17421
9	158	15726
10	159	14355
11	160	13218
12	161	12247
13	162	11409
14	162	10676
15	163	10037
16	163	9473
17	164	8972
18	165	8523
19	165	8120
20	166	7762
21	167	7451
22	168	7160
23	169	6882
24	169	6624
25	170	6386
26	171	6165
27	171	5959
28	172	5778
29	173	5604
30	174	5442
31	175	5294
32	176	5160
33	176	5023
34	177	4891
35	178	4766
36	178	4649
37	179	4538
38	179	4432
39	180	4331
40	181	4238
41	182	4156
42	182	4071
43	183	3987
44	184	3907
45	184	3829
46	185	3756
47	185	3685
48	186	3618
49	187	3555
50	188	3498
51	188	3439
52	189	3382
53	189	3326
54	190	3272
55	191	3220
56	191	3169
57	192	3120
58	192	3073
59	193	3028
60	193	2983
61	194	2949
62	196	2916
63	196	2876
64	197	2838
65	197	2800
66	198	2763
67	199	2728
68	199	2693
69	200	2659
70	200	2626
71	201	2594
72	202	2565
73	202	2537
74	203	2509
75	204	2480
76	204	2452
77	205	2425
78	205	2398
79	206	2372
80	206	2346
81	207	2324
82	207	2297
83	208	2275
84	209	2254
85	210	2236
86	211	2214
87	211	2194
88	212	2173
89	212	2152
90	213	2132
91	214	2112
92	214	2092
93	215	2073
94	215	2054
95	216	2037
96	217	2023
97	218	2007
98	218	1989
99	219	1973
100	219	1956
101	220	1939
102	221	1924
103	221	1909
104	222	1893
105	222	1878
106	223	1863
107	224	1850
108	224	1838
109	225	1824
110	226	1811
111	226	1798
112	227	1784
113	227	1771
114	228	1758
115	229	1746
116	229	1732
117	230	1721
118	230	1709
119	231	1699
120	232	1688
121	232	1676
122	233	1665
123	234	1654
124	234	1643
125	235	1633
126	235	1621
127	236	1611
128	237	1603
129	238	1593
130	238	1585
131	239	1577
132	240	1567
133	241	1557
134	241	1548
135	242	1538
136	242	1529
137	243	1520
138	243	1511
139	244	1501
140	245	1493
141	245	1483
142	246	1474
143	247	1470
144	248	1463
145	248	1455
146	249	1447
147	250	1439
148	250	1431
149	251	1423
150	251	1415
151	252	1407
152	252	1400
153	253	1392
154	254	1386
155	255	1380
156	255	1372
157	256	1365
158	256	1358
159	257	1351
160	257	1343
161	258	1336
162	258	1329
163	259	1322
164	260	1316
165	260	1309
166	261	1303
167	262	1299
168	263	1293
169	263	1287
170	264	1281
171	265	1276
172	265	1270
173	266	1265
174	267	1259
175	267	1254
176	270	1258
177	271	1253
178	272	1247
179	272	1242
180	273	1237
181	274	1232
182	274	1227
183	275	1222
184	277	1222
185	278	1218
186	279	1214
187	280	1209
188	280	1204
189	281	1199
190	282	1194
191	282	1190
192	285	1195
193	286	1192
194	287	1187
195	288	1183
196	289	1178
197	289	1174
198	291	1172
199	292	1171
200	293	1167
201	294	1162
202	295	1159
203	295	1154
204	296	1150
205	297	1145
206	297	1140
207	298	1136
208	300	1136
209	301	1132
210	301	1128
211	302	1124
212	303	1120
213	303	1115
214	304	1112
215	305	1108
216	309	1115
217	310	1112
218	310	1108
219	311	1104
220	312	1101
221	313	1097
222	314	1097
223	316	1095
224	317	1092
225	318	1090
226	319	1086
227	319	1083
228	321	1081
229	323	1083
230	324	1079
231	325	1076
232	325	1072
233	326	1069
234	327	1065
235	328	1062
236	329	1059
237	330	1058
238	331	1054
239	331	1050
240	332	1047
241	333	1044
242	333	1040
243	334	1036
244	335	1033
245	336	1029
246	337	1028
247	338	1025
248	339	1022
249	339	1019
250	340	1016
251	341	1013
252	342	1009
253	342	1006
254	343	1003
255	345	1003
256	346	1002
257	347	999
258	348	996
259	349	993
260	349	990
261	350	987
262	351	986
263	353	986
264	354	983
265	355	980
266	355	977
267	356	974
268	357	970
269	357	967
270	359	967
271	360	965
272	361	962
273	362	959
274	362	956
275	363	954
276	364	951
277	367	954
278	368	953
279	375	966
280	376	963
281	377	960
282	377	957
283	378	954
284	379	951
285	379	948
286	380	944
287	380	941
288	381	939
289	382	937
290	383	934
291	384	931
292	384	928
293	385	925
294	385	922
295	386	919
296	387	916
297	387	913
298	388	911
299	390	910
300	391	908
301	392	906
302	392	903
303	393	901
304	394	898
305	394	895
306	395	892
307	396	890
308	397	889
309	398	887
310	399	884
311	399	881
312	400	878
313	401	876
314	403	876
315	405	878
316	407	877
317	408	875
318	409	873
319	409	870
320	410	867
321	411	866
322	412	865
323	413	862
324	414	860
325	415	858
326	415	856
327	416	853
328	417	850
329	417	848
330	419	847
331	420	846
332	421	843
333	421	841
334	422	838
335	423	835
336	423	833
337	424	830
338	424	828
339	425	825
340	426	824
341	427	822
342	427	819
343	428	817
344	429	815
345	430	812
346	430	810
347	431	807
348	431	805
349	432	803
350	433	801
351	434	800
352	435	798
353	436	796
354	436	793
355	437	791
356	438	789
357	438	787
358	439	785
359	440	783
360	441	781
361	442	779
362	443	777
363	443	775
364	444	773
365	445	771
366	445	769
367	446	766
368	447	764
369	448	763
370	450	763
371	451	762
372	452	759
373	452	757
374	453	755
375	453	753
376	454	751
377	455	749
378	456	748
379	457	746
380	458	745
381	459	743
382	459	740
383	460	738
384	461	736
385	461	734
386	463	733
387	464	732
388	465	731
389	466	729
390	466	727
391	467	725
392	468	723
393	469	721
394	469	719
395	470	718
396	471	716
397	473	715
398	473	713
399	474	711
400	475	710
401	476	708
402	476	706
403	478	705
404	478	703
405	479	701
406	480	700
407	481	698
408	482	696
409	482	694
410	483	693
411	484	691
412	485	690
413	487	689
414	488	688
415	488	686
416	489	684
417	490	682
418	491	681
419	492	679
420	493	678
421	494	677
422	495	676
423	496	674
424	497	672
425	498	671
426	498	669
427	499	667
428	500	666
429	501	664
430	502	663
431	503	661
432	503	659
433	504	658
434	505	656
435	509	658
436	510	657
437	511	656
438	512	654
439	513	653
440	514	652
441	515	651
442	516	649
443	518	648
444	519	648
445	520	646
446	522	646
447	524	646
448	525	645
449	526	643
450	527	641
451	531	643
452	532	643
453	533	642
454	534	640
455	539	643
456	540	641
457	540	639
458	542	638
459	543	638
460	545	637
461	546	636
462	547	635
463	549	634
464	551	634
465	552	633
466	553	631
467	554	630
468	557	631
469	561	632
470	564	633
471	565	632
472	566	631
473	567	630
474	570	630
475	571	629
476	574	630
477	578	631
478	580	631
479	582	630
480	587	634
481	592	636
482	594	636
483	601	641
484	602	640
485	604	638
486	606	638
487	609	639
488	611	638
489	613	638
490	614	637
491	615	635
492	616	634
493	617	632
494	619	631
495	622	632
496	625	632
497	626	631
498	627	629
499	628	628
500	629	626
501	630	625
502	630	623
503	632	622
504	633	621
505	634	619
506	635	618
507	636	616
508	637	614
509	637	612
510	639	611
511	640	610
512	643	610
513	644	609
514	645	607
515	647	607
516	649	606
517	649	604
518	651	603
519	652	601
520	653	600
521	655	600
522	656	598
523	657	597
524	658	595
525	659	593
526	659	592
527	660	590
528	662	590
529	663	588
530	664	586
531	665	585
532	665	583
533	666	581
534	667	580
535	668	578
536	670	577
537	671	576
538	671	574
539	672	572
540	673	571
541	674	569
542	675	568
543	677	567
544	678	566
545	679	564
546	679	563
547	680	561
548	681	559
549	682	558
550	683	556
551	684	555
552	685	554
553	686	552
554	687	551
555	688	549
556	689	548
557	689	546
558	692	546
559	693	544
560	694	543
561	694	541
562	695	539
563	696	538
564	697	536
565	699	536
566	700	535
567	701	533
568	702	532
569	703	530
570	703	528
571	705	527
572	707	527
573	708	525
574	708	523
575	709	522
576	710	520
577	710	518
578	711	517
579	712	515
580	714	515
581	715	514
582	716	512
583	717	511
584	718	509
585	719	507
586	719	506
587	720	504
588	722	504
589	723	502
590	724	501
591	724	499
592	725	498
593	726	496
594	727	495
595	730	494
596	730	493
597	731	491
598	732	490
599	733	488
600	734	487
601	734	485
602	737	485
603	738	484
604	739	482
605	740	481
606	741	479
607	741	478
608	742	476
609	743	475
610	744	474
611	745	472
612	746	471
613	747	469
614	747	468
615	748	466
616	749	465
617	750	463
618	750	462
619	752	460
620	752	459
621	753	457
622	754	456
623	755	455
624	756	453
625	756	452
626	757	450
627	758	449
628	759	448
629	760	446
630	761	445
631	761	443
632	762	442
633	763	440
634	763	439
635	764	437
636	765	436
637	767	435
638	767	433
639	768	432
640	769	430
641	770	429
642	770	428
643	771	426
644	772	425
645	774	424
646	775	423
647	776	421
648	776	420
649	777	418
650	778	417
651	778	415
652	779	414
653	780	413
654	782	412
655	783	410
656	784	409
657	785	408
658	785	406
659	786	405
660	786	403
661	787	402
662	788	400
663	789	399
664	790	398
665	791	396
666	792	395
667	792	393
668	793	392
669	794	391
670	795	389
671	796	388
672	797	387
673	798	386
674	798	384
675	799	383
676	800	381
677	801	380
678	802	379
679	803	378
680	804	376
681	805	375
682	805	373
683	806	372
684	806	371
685	807	369
686	808	368
687	809	366
688	810	365
689	811	364
690	811	363
691	812	361
692	813	360
693	814	358
694	814	357
695	815	356
696	816	354
697	817	353
698	818	352
699	819	351
700	819	349
701	820	348
702	821	346
703	821	345
704	822	344
705	823	342
706	823	341
707	825	340
708	826	339
709	827	337
710	827	336
711	828	335
712	829	333
713	829	332
714	830	330
715	831	329
716	831	328
717	833	327
718	833	325
719	834	324
720	835	323
721	836	321
722	836	320
723	837	319
724	838	317
725	839	316
726	840	315
727	841	314
728	842	313
729	843	311
730	843	310
731	844	309
732	845	307
733	846	306
734	849	306
735	850	304
736	850	303
737	851	302
738	852	301
739	853	299
740	855	299
741	856	297
742	857	296
743	858	295
744	859	294
745	859	292
746	860	291
747	861	290
748	862	289
749	863	287
750	864	286
751	865	285
752	866	284
753	867	282
754	870	282
755	871	281
756	871	279
757	872	278
758	873	277
759	874	276
760	875	274
761	876	273
762	877	272
763	878	271
764	879	270
765	879	268
766	880	267
767	881	266
768	882	265
769	883	263
770	884	262
771	885	261
772	885	260
773	886	258
774	887	257
775	888	256
776	889	255
777	892	254
778	893	253
779	894	252
780	895	251
781	895	249
782	896	248
783	898	247
784	899	246
785	900	245
786	901	243
787	901	242
788	902	241
789	903	240
790	904	238
791	905	237
792	907	236
793	907	235
794	908	234
795	909	233
796	910	231
797	910	230
798	911	229
799	912	228
800	913	227
801	914	225
802	915	224
803	916	223
804	917	222
805	919	221
806	920	220
807	921	218
808	921	217
809	922	216
810	923	215
811	924	213
812	924	212
813	927	212
814	928	210
815	930	209
816	931	208
817	932	207
818	935	206
819	936	205
820	936	204
821	937	203
822	938	201
823	939	200
824	940	199
825	941	198
826	942	197
827	943	195
828	944	194
829	945	193
830	945	192
831	946	191
832	947	189
833	949	188
834	950	187
835	951	186
836	952	185
837	952	184
838	953	182
839	954	181
840	954	180
841	956	179
842	957	178
843	958	177
844	959	176
845	960	174
846	961	173
847	961	172
848	962	171
849	963	170
850	964	168
851	965	167
852	966	166
853	967	165
854	967	164
855	968	162
856	969	161
857	969	160
858	971	159
859	972	158
860	973	157
861	974	155
862	975	154
863	976	153
864	977	152
865	979	151
866	980	150
867	981	149
868	981	148
869	982	146
870	983	145
871	984	144
872	984	143
873	985	142
874	987	141
875	988	139
876	989	138
877	989	137
878	990	136
879	991	135
880	991	133
881	992	132
882	995	131
883	996	130
884	997	129
885	998	128
886	999	127
887	1003	126
888	1004	125
889	1005	124
